code,affiliation_code,set_code,name,subtitle,type_code,points,BoFpoints,cost,health,side1,side2,side3,side4,side5,side6,faction_code,text,deck_limit,flavor,has_die,has_errata,illustrator,is_unique,position,rarity_code,ttscardid,subtype1,subtype2,subtype3,reprint_of
02012,villain,SoR,Royal Guard,NA,character,9,9,NA,8,1MD,2MD,+2MD,1Sh,1Sh,-,blue,"Guardian.
You cannot play Blue <i>abilities</i> on this character.",3,NA,TRUE,TRUE,Ben Zweifel,FALSE,12,R,2211,guard,NA,NA,NA
02013,villain,SoR,Command Shuttle,NA,support,NA,NA,3,NA,2RD,2Sh,1R,Sp,Sp,-,blue,[special] - Use a special ability ([special]) on one of your characters.,2,NA,TRUE,FALSE,Emilio Rodriguez,FALSE,13,R,2212,vehicle,NA,NA,NA
02014,villain,SoR,Force Lightning,NA,upgrade,NA,NA,4,NA,2RD,3RD1,4RD1,Sp,Sp,-,blue,"Blue character only.
[special] - Deal 1 damage to a character. You  may remove a die showing a blank ([blank]) to reroll this die instead of removing it from your pool.",2,NA,TRUE,FALSE,Magali Villeneuve,FALSE,14,L,2213,ability,NA,NA,NA
02015,villain,SoR,Lightsaber Pike,NA,upgrade,NA,NA,3,NA,1MD,+2MD,+4MD1,1Sh,1R,-,blue,<b>Action</b> - Remove this die to give a non-attached character 1 shield.,2,NA,TRUE,FALSE,Dallas Williams,FALSE,15,R,2214,weapon,NA,NA,NA
02016,villain,SoR,Lure of Power,NA,upgrade,NA,NA,2,NA,+1*,+1*,+2*,1R,-,-,blue,You may resolve the modifier sides <em>(sides with a +)</em> of this die to modify any symbol.,2,NA,TRUE,FALSE,Ryan Valle,FALSE,16,R,2215,NA,NA,NA,NA
02017,villain,SoR,Interrogation Droid,NA,support,NA,NA,2,NA,1Dr,1Dc,1Dc,1Dc,1R,-,gray,"After you activate this support, look at a random card in an opponent's hand. If that card is an event, you may remove this die to discard it.",2,NA,TRUE,FALSE,Jason Juta,FALSE,17,R,2216,droid,NA,NA,NA
02018,villain,SoR,Aurra Sing,Deadly Shot,character,14/18,14/18,NA,10,1RD,2RD,2RD,1Dr,1R,-,yellow,"Before you resolve this die, you may discard a card from your hand you increase its value by 1.",1,"""Well, what do we have here?""",TRUE,TRUE,Kate Laird,TRUE,18,R,2217,bounty-hunter,NA,NA,NA
02019,villain,SoR,Guavian Enforcer,NA,character,8,8,NA,9,1RD,2RD,+1RD,+1R,+1R,-,yellow,<b>Action</b> - Remove this die to remove 1 shield from a character.,3,NA,TRUE,TRUE,Jacob Atienza,FALSE,19,R,2218,scoundrel,NA,NA,NA
02020,villain,SoR,IG-88,Assassin Droid,character,15/20,13/18,NA,12,2RD,3RD,1Sh,2Sh1,Sp,-,yellow,"[special] - Play a Yellow <i>weapon</i> or <i>equipment</i> from your discard pile on this character, decreasing its cost by 2.",1,NA,TRUE,TRUE,Ryan Valle,TRUE,20,L,2219,bounty-hunter,droid,NA,NA
02021,villain,SoR,Unkar Plutt,Junk Dealer,character,10/13,11/14,NA,10,1F,1Dr,2Dr,1R,+2R,-,yellow,<b>Action</b> - Remove any number of your dice showing a combined value of 3 or more. Then discard a random card from an opponent's hand and gain resources equal to its cost.,1,NA,TRUE,TRUE,Sam Lamont,TRUE,21,R,2220,scavenger,NA,NA,NA
02022,villain,SoR,Slave I,NA,support,NA,NA,4,NA,2RD,3RD,4RD1,1R,Sp,-,yellow,"[special] - Force an opponent to deal damage to their characters equal to the number of dice in their dice pool, distributed as they wish.",2,NA,TRUE,FALSE,Sam Burley,TRUE,22,L,2221,vehicle,NA,NA,NA
02023,villain,SoR,Blackmail,NA,upgrade,NA,NA,3,NA,2Dc,3Dc,2Dr,3Dr,3Sh,-,yellow,"After you roll this die, any opponent may give you 1 resource to remove this die.",2,NA,TRUE,FALSE,Anthony Palumbo,FALSE,23,L,2222,NA,NA,NA,NA
02024,villain,SoR,Personal Shield,NA,upgrade,NA,NA,2,NA,1Sh,2Sh,3Sh1,1R,-,-,yellow,"Before attached character is dealt 2 or more ranged damage ([ranged]), you may exhaust this upgrade to give attached character 1 shield.",2,NA,TRUE,FALSE,Joel Hustak,FALSE,24,R,2223,equipment,NA,NA,NA
02025,villain,SoR,Vibroknucklers,NA,upgrade,NA,NA,3,NA,1MD,1MD,2MD,1Dc,2Dc,-,yellow,"Ambush.
Before resolving this die, you  may spend 1 resource to increase its value by 1.",2,NA,TRUE,FALSE,Arden Beckwith,FALSE,25,R,2224,weapon,NA,NA,NA
02026,hero,SoR,Baze Malbus,Crack Shot,character,14/18,12/16,NA,11,2RD,3RD1,+2RD,1R,Sp,-,red,[special] - Deal 1 damage to each of an opponent's characters.,1,NA,TRUE,TRUE,Ryan Valle,TRUE,26,L,2225,guard,NA,NA,NA
02027,hero,SoR,Mon Mothma,Skilled Politician,character,11/14,9/12,NA,9,1F,2F,1Sh,1R,1R,-,red,"After you play an event, you may reroll a die of the same color as that event.",1,NA,TRUE,TRUE,Tony Foti,TRUE,27,R,2226,leader,NA,NA,NA
02028,hero,SoR,Rebel Commando,NA,character,10,10,NA,10,1RD,2RD,1Dc,1R,Sp1,-,red,[special] - Remove an opponent's die.,3,NA,TRUE,TRUE,Arden Beckwith,FALSE,28,R,2227,trooper,NA,NA,NA
02029,hero,SoR,"Temmin ""Snap"" Wexley",Recon Specialist,character,9/12,9/12,NA,8,1RD,1Dr,2Dr,1Dc,1R,-,red,"While at least one of this die is in your pool, your opponent must spend 1 resource in order to claim the battlefield.",1,"""Watch out for ground fire!""",TRUE,TRUE,Tiziano Baracchi,TRUE,29,R,2228,pilot,NA,NA,NA
02030,hero,SoR,C-3PO,NA,support,NA,NA,1,NA,1F,1Dc,1R,1R,-,-,red,<b>Action</b> - Remove this die to resolve one of your dice as if it were showing a different symbol (<em>it keeps its original value</em>).,2,"""It is I, See-Threepio!""",TRUE,FALSE,Alberto Bontempi,TRUE,30,R,2229,droid,NA,NA,NA
02031,hero,SoR,U-Wing,NA,support,NA,NA,5,NA,3RD,3RD,2F,2R,Sp,Sp,red,"[special] - Deal 2 damage to each of an opponent's characters.
[special] - Give each of your characters 2 shields.",2,NA,TRUE,FALSE,Darren Tan,FALSE,31,L,2230,vehicle,NA,NA,NA
02032,hero,SoR,A180 Blaster,NA,upgrade,NA,NA,3,NA,2RD,+2RD,1Dr,Sp,Sp,-,red,"[special] - Deal 1 damage to a character and give attached character 1 shield.
[special] - Deal 1 damage to each of an opponent's characters.
[special] - Deal 2 unblockable damage to a character.",2,NA,TRUE,FALSE,Jeff Lee Johnson,FALSE,32,R,2231,weapon,NA,NA,NA
02033,hero,SoR,Overkill,NA,upgrade,NA,NA,2,NA,+1RD,+2RD,+3RD,+3RD,-,-,red,NA,2,The most hardened soldiers already know they're dead.,TRUE,FALSE,Ryan Valle,FALSE,33,R,2232,ability,NA,NA,NA
02034,hero,SoR,Jedi Acolyte,NA,character,9,9,NA,7,1MD,1F,2F,1Dc,1R,-,blue,"Before you resolve this die, increase its value by 1, if it is showing the same symbol as one of your other dice.",3,NA,TRUE,TRUE,NA,FALSE,34,R,2233,apprentice,NA,NA,NA
02035,hero,SoR,Chirrut Îmwe,Blind Warrior,character,12/16,11/14,NA,11,1RD,+2RD,2MD,+1MD,1R,-,blue,"You cannot play Blue <i>abilities</i> on this character.
After you activate this character, you may reroll all of your dice showing blanks ([blank]).",1,NA,TRUE,TRUE,Darren Tan,TRUE,35,R,2234,guard,NA,NA,NA
02036,hero,SoR,Luminara Unduli,Inspiring Commander,character,13/17,11/14,NA,10,1MD,2MD,1F,1R,Sp,-,blue,"[special] - Resolve one of your character dice, increasing its value by 2, or by 3 instead if it is a non-unique character die.",1,"""Synchronize on my mark.""",TRUE,TRUE,Kate Laird,TRUE,36,R,2235,jedi,leader,NA,NA
02037,hero,SoR,Obi-Wan Kenobi,Mysterious Hermit,character,16/20,14/18,NA,11,1MD,3MD,1F,2F,1R,-,blue,"Guardian.
Before this character is defeated, you may play a Blue card from your hand or discard pile for free.",1,"""Stretch out with your feelings.""",TRUE,TRUE,Aaron Miller,TRUE,37,L,2236,jedi,NA,NA,NA
02038,hero,SoR,Delta-7 Interceptor,NA,support,NA,NA,3,NA,2RD,3RD1,1F,1Sh,Sp,-,blue,[special] - Reroll up to 3 dices (<em>yours and/or your opponent's</em>).,2,A favorite of the Jedi during the Clone Wars.,TRUE,FALSE,JB Casacop,FALSE,38,R,2237,vehicle,NA,NA,NA
02039,hero,SoR,Handcrafted Light Bow,NA,upgrade,NA,NA,3,NA,2RD,2MD,1Sh,1Dc,Sp,-,blue,"[special] - Deal 3 damage to a character.
[special] - Remove all shields from a character. Then deal 2 damage to that character.",2,NA,TRUE,FALSE,Jeff Lee Johnson,FALSE,39,L,2238,weapon,NA,NA,NA
02040,hero,SoR,Force Heal,NA,upgrade,NA,NA,2,NA,1Sh,1R,1R,Sp,Sp,-,blue,"Blue character only.
[special] - Heal 1 damage from a character or spend 1 resource to heal 2 damage from a character.",2,NA,TRUE,FALSE,NA,FALSE,40,R,2239,ability,NA,NA,NA
02041,hero,SoR,Journals of Ben Kenobi,NA,upgrade,NA,NA,1,NA,+1MD,1R,1R,-,-,-,blue,<b>Action</b> - Remove this die to draw a card.,2,NA,TRUE,FALSE,Jacob Atienza,TRUE,41,R,2240,NA,NA,NA,NA
02042,hero,SoR,R2-D2,NA,support,NA,NA,2,NA,1MD,1F,1Dr,1R,Sp,Sp,gray,"[special] - Resolve one of your dice, increasing its value by 1.",2,"""That little droid and I have been through a lot together."" <cite>Luke Skywalker</cite>",TRUE,FALSE,Jason Juta,TRUE,42,R,2241,droid,NA,NA,NA
02043,hero,SoR,Chewbacca,Loyal Friend,character,12/16,11/15,NA,12,1RD,2RD1,2MD,1R,Sp,-,yellow,[special] - Turn a opponent's die to a side showing damage ([ranged] or [melee]) to deal that damage to a character.,1,Rroooaarrgghh!,TRUE,TRUE,Tony Foti,TRUE,43,L,2242,wookiee,scoundrel,NA,NA
02044,hero,SoR,Jyn Erso,Reckless Operative,character,15/20,14/18,NA,11,2RD,2RD,1Dc,2Dc,1R,-,yellow,The cost of the first Yellow event you play each round is decreased by 1.,1,NA,TRUE,TRUE,Ryan Valle,TRUE,44,R,2243,scoundrel,NA,NA,NA
02045,hero,SoR,Maz Kanata,Pirate Queen,character,8/11,8/11,NA,8,1RD,1F,1F,1Sh,1R,-,yellow,"After you activate this character, you may resolve up to 2 of your dice.",1,"If you live long enough, you see the same eyes in different people.",TRUE,TRUE,Joel Hustak,TRUE,45,R,2244,scoundrel,NA,NA,NA
02046,hero,SoR,Outer Rim Smuggler,NA,character,8,8,NA,7,1RD,2RD,1Dr,1Dc,1R,-,yellow,"The first time each round you play the last card from your hand, gain 1 resource.",3,NA,TRUE,TRUE,NA,FALSE,46,R,2245,scoundrel,NA,NA,NA
02047,hero,SoR,Smuggling Freighter,NA,support,NA,NA,1,NA,1Dr,2Dr,1R,2R,-,-,yellow,"After you resolve one of this die's sides showing a value of 2, place this support on the top of your deck.",2,NA,TRUE,FALSE,Mark Molnar,FALSE,47,R,2246,vehicle,NA,NA,NA
02048,hero,SoR,Bowcaster,NA,upgrade,NA,NA,4,NA,2RD,4RD1,+3RD,2Dr,Sp,-,yellow,"Redeploy.
[special] - Deal 1 unblockable damage each to up to 2 different characters.",2,"""I like this thing."" <cite>Han Solo</cite>",TRUE,FALSE,Tiziano Baracchi,FALSE,48,L,2247,weapon,NA,NA,NA
02049,hero,SoR,Lone Operative,NA,upgrade,NA,NA,3,NA,2MD,2Dc,1R,Sp,Sp,-,yellow,"[special] - Heal 2 damage from attached character, or 3 damage instead if attached character is your only character in play.",2,NA,TRUE,FALSE,Jeff Lee Johnson,FALSE,49,R,2248,ability,NA,NA,NA
02050,hero,SoR,Maz's Goggles,NA,upgrade,NA,NA,1,NA,1F,2F,1R,1R,Sp,-,yellow,"To play, spot a Yellow character.
[special] - Look at an opponent's hand and discard an event from it.",2,NA,TRUE,FALSE,Romana Kendelic,TRUE,50,L,2249,equipment,NA,NA,NA
02051,neutral,SoR,Supply Line,NA,support,NA,NA,1,NA,1F,1R,+1R,+1R,Sp,-,red,[special] - Reroll any number of your dice.,2,NA,TRUE,FALSE,Marko Horvatin,FALSE,51,R,2250,NA,NA,NA,NA
02052,neutral,SoR,Astromech,NA,support,NA,NA,2,NA,1F,2F,1Sh,1R,-,-,red,<b>Action</b> - Remove this die to turn a <i>vehicle</i> die to any side.,2,NA,TRUE,FALSE,Ryan Barger,FALSE,52,R,2251,droid,NA,NA,NA
02053,neutral,SoR,Rocket Launcher,NA,upgrade,NA,NA,3,NA,3RD1,3RD1,4RD1,Sp1,-,-,red,"[special] - Discard a <i>vehicle</i> from play.
[special] - Deal 2 damage each to up to 2 different characters.",2,NA,TRUE,FALSE,NA,FALSE,53,L,2252,weapon,NA,NA,NA
02054,neutral,SoR,Force Push,NA,upgrade,NA,NA,3,NA,2RD,2RD,2Dc,Sp,Sp,-,blue,"Blue character only.
[special] - Turn up to 2 of an opponent's dice to sides of your choice.",2,NA,TRUE,FALSE,Sidharth Chaturvedi,FALSE,54,R,2253,ability,NA,NA,NA
02055,neutral,SoR,Force Speed,NA,upgrade,NA,NA,0,NA,1F,1Sh,Sp,Sp,Sp,-,blue,"Blue character only.
[special] - Take up to 2 additional actions.",2,NA,TRUE,FALSE,Tiziano Baracchi,FALSE,55,L,2254,ability,NA,NA,NA
02056,neutral,SoR,Makashi Training,NA,upgrade,NA,NA,2,NA,+1MD,+2MD,+2MD,1Sh,1R,-,blue,"To play, spot a Blue character.
<b>Action</b> - Remove one of your dice showing melee damage ([melee]) and exhaust this upgrade to remove a die showing melee damage ([melee]).",2,NA,TRUE,FALSE,NA,FALSE,56,R,2255,ability,NA,NA,NA
02057,neutral,SoR,Vibroknife,NA,upgrade,NA,NA,2,NA,1MD,1MD,+2MD,1Dc,1R,-,gray,"Ambush.
Damage dealt by this die or by dice it modifies is unblockable.",2,NA,TRUE,TRUE,Jimmy Zhang,FALSE,57,R,2256,weapon,NA,NA,NA
02058,neutral,SoR,Quadjumper,NA,support,NA,NA,3,NA,2F,1Sh,2Sh,1R,1R,-,yellow,"<b>Action</b> - Discard this support to play a support from your hand, decreasing its cost by 3.",2,NA,TRUE,FALSE,Logan Feliciano,FALSE,58,L,2257,vehicle,NA,NA,NA
02059,neutral,SoR,Ascension Gun,NA,upgrade,NA,NA,2,NA,1RD,2RD,1F,2Dc1,Sp,-,yellow,[special] - Use the ability on a battlefield that is not being used <em>(but was brought to the game)</em> as if you had just claimed it.,2,NA,TRUE,FALSE,Jason Juta,FALSE,59,R,2258,equipment,NA,NA,NA
02060,neutral,SoR,Con Artist,NA,upgrade,NA,NA,2,NA,2Dr,2Dr,1Dc,Sp,Sp,-,yellow,"Yellow character only.
[special] - Place 1 damage on this upgrade. Then discard cards from the top of an opponent's deck equal to the amount of damage on this upgrade.",2,NA,TRUE,FALSE,Cristi Balanescu,FALSE,60,R,2259,NA,NA,NA,NA
02061,villain,SoR,Battle Formation,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Ambush.
Count the number of Red characters you have. You may reroll that many of your dice.",2,NA,FALSE,FALSE,Vlad Ricean,FALSE,61,C,2260,NA,NA,NA,NA
02062,villain,SoR,Imperial War Machine,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,Resolve one of your Red dice showing a resource cost for free.,2,NA,FALSE,FALSE,Alex Tooth,FALSE,62,U,2261,NA,NA,NA,NA
02063,villain,SoR,Lockdown,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Ambush.
Spot two Red characters to take control of the battlefield. (<em>This does not claim the battlefield</em>.)",2,NA,FALSE,FALSE,Cynthia Sheppard,FALSE,63,C,2262,NA,NA,NA,NA
02064,villain,SoR,Sustained Fire,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,"Play only if you have 2 or more dice showing ranged damage ([ranged]).
Remove all shields from all of an opponent's characters.",2,NA,FALSE,FALSE,Alex Tooth,FALSE,64,U,2263,NA,NA,NA,NA
02065,villain,SoR,Traitor!,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,"Ambush.
Discard the top card of your deck. Then remove a die not showing a special ([special]) that has a value equal to or less than the cost of the card you just discarded.",2,NA,FALSE,FALSE,Jose Vega,FALSE,65,U,2264,NA,NA,NA,NA
02066,villain,SoR,Trench Warfare,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Play only if you have one or more dice showing a shield ([shield]).
Turn any number of an opponent's dice to sides showing shields ([shield]).",2,NA,FALSE,FALSE,Sidharth Chaturvedi,FALSE,66,C,2265,NA,NA,NA,NA
02067,villain,SoR,Undying Loyalty,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Heal 1 damage from a Red character. If there is another copy of this event in your discard pile, you may spend 1 resource to place this event on the top of your deck instead of discarding it.",2,NA,FALSE,FALSE,Mark Molnar,FALSE,67,C,2266,NA,NA,NA,NA
02068,villain,SoR,We Have Them Now,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,red,"Play only if you control the battlefield.
Turn up to 4 of your dice to sides showing damage ([ranged] or [melee]).",2,NA,FALSE,FALSE,Matt Bradbury,FALSE,68,U,2267,NA,NA,NA,NA
02069,villain,SoR,Attrition,NA,support,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,"After one of your characters is defeated, deal 1 damage to a character.",2,NA,FALSE,FALSE,Matt Bradbury,FALSE,69,C,2268,NA,NA,NA,NA
02070,villain,SoR,Imperial Inspection,NA,support,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"After one of your dice rolls a disrupt ([disrupt]), you may set this support aside to return an upgrade in play that costs 2 or less to its owner's hand.",2,NA,FALSE,TRUE,Alejandro Mirabel,FALSE,70,U,2269,NA,NA,NA,NA
02071,villain,SoR,Anger,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,"Play only if you have 2 or more dice showing blanks ([blank]).
Resolve an opponent's die showing damage ([ranged] or [melee]) as if it were your die.",2,NA,FALSE,FALSE,Artur Zima,FALSE,71,U,2300,NA,NA,NA,NA
02072,villain,SoR,Lightsaber Throw,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,"Play only if you have one or more dice showing melee damage ([melee]).
Deal 2 damage to a character.",2,NA,FALSE,FALSE,Kim Artem,FALSE,72,U,2301,NA,NA,NA,NA
02073,villain,SoR,Manipulate,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Turn one of your dice to a side showing a blank ([blank]). Then turn an opponent's die to a side showing a blank ([blank]).,2,NA,FALSE,FALSE,David Auden Nash,FALSE,73,C,2302,NA,NA,NA,NA
02074,villain,SoR,No Disintegrations,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,"Discard the top card of an opponent's deck, or 3 cards instead if there is another copy of this event in your discard pile.",2,NA,FALSE,FALSE,Tyler James,FALSE,74,C,2303,NA,NA,NA,NA
02075,villain,SoR,Now You Will Die,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,Resolve one of your dice as if it were showing melee damage ([melee]) <em>(it keeps its original value)</em>.,2,NA,FALSE,FALSE,Caroline Gariba,FALSE,75,C,2304,NA,NA,NA,NA
02076,villain,SoR,Rise Again,NA,event,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,blue,Heal 5 damage from a unique Blue character. You may play an upgrade from your discard pile on it for free.,2,NA,FALSE,FALSE,Audrey Hotte,FALSE,76,U,2305,NA,NA,NA,NA
02077,villain,SoR,The Price of Failure,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Spot a Blue character and defeat one of your characters to ready a character.,2,NA,FALSE,FALSE,Victor Manuel Leza Moreno,FALSE,77,C,2306,NA,NA,NA,NA
02078,villain,SoR,Dark Presence,NA,support,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,"After one of your dice rolls a discard ([discard]), you may exhaust this support to force an opponent to choose and remove one of their dice.",2,NA,FALSE,FALSE,Zachary Graves,FALSE,78,U,2307,NA,NA,NA,NA
02079,villain,SoR,Now I Am The Master,NA,upgrade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,"After attached character's character or upgrade dice deal damage, you may exhaust this upgrade to turn a die to a side showing a blank ([blank]).",2,NA,FALSE,FALSE,John Stanko,FALSE,79,C,2308,NA,NA,NA,NA
02080,villain,SoR,Doubt,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,gray,Reroll an opponent's die. Then that opponent either resolves that die or removes it.,2,NA,FALSE,FALSE,Jeff Lee Johnson,FALSE,80,C,2309,NA,NA,NA,NA
02081,villain,SoR,Arms Deal,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,Discard any number of <i>weapons</i> from your hand. Then gain 1 resource for each card you just discarded.,2,NA,FALSE,FALSE,Jacob Murray,FALSE,81,C,2310,NA,NA,NA,NA
02082,villain,SoR,Bait and Switch,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,"Ambush.
Turn one of your dice showing a resource ([resource]) to any side.",2,NA,FALSE,FALSE,Sandare Tang,FALSE,82,C,2311,NA,NA,NA,NA
02083,villain,SoR,Friends in High Places,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,"Play only if you have dice showing a combined value of 7 or more.
Look at the top 3 cards of your deck. You may play one of those cards for free. Discard the cards you don't play.",2,NA,FALSE,FALSE,Joel Hustak,FALSE,83,U,2312,NA,NA,NA,NA
02084,villain,SoR,Loose Ends,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,yellow,"Ambush.
Remove one of your dice showing ranged damage ([ranged]) to discard the top 4 cards of an opponent's deck.",2,NA,FALSE,FALSE,Dudu Torres,FALSE,84,U,2313,NA,NA,NA,NA
02085,villain,SoR,One-Quarter Portion,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,yellow,Remove an opponenet's die. Then that opponent gains 1 resource.,2,NA,FALSE,FALSE,BalanceSheet,FALSE,85,C,2314,NA,NA,NA,NA
02086,villain,SoR,Relentless Pursuit,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,Move up to 2 damage from an opponent's character to another character (<em>this ignores shields</em>.),2,NA,FALSE,FALSE,Mike Capprotti,FALSE,86,C,2315,NA,NA,NA,NA
02087,villain,SoR,Scrap Buy,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,"Play only if you have 3 or more cards in your discard pile.
Add a random card from your discard pile to your hand (<em>show the card to your opponents</em>).",2,NA,FALSE,FALSE,Dinodrawing,FALSE,87,U,2316,NA,NA,NA,NA
02088,villain,SoR,Salvage Stand,NA,support,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,"After one of your dice rolls a resource ([resource]), you may exhaust this support to force an opponent to lose 1 resource.",2,NA,FALSE,FALSE,Ivan Dixon,FALSE,88,C,2317,NA,NA,NA,NA
02089,villain,SoR,Armor Plating,NA,upgrade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,yellow,"Before attached character takes damage, you may block up to 2 damage. Then discard this upgrade from play.",2,NA,FALSE,FALSE,Jason Juta,FALSE,89,U,2318,equipment,NA,NA,NA
02090,hero,SoR,Emergency Evacuation,NA,event,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,red,Remove all dice.,2,NA,FALSE,FALSE,Tiziano Baracchi,FALSE,90,U,2319,NA,NA,NA,NA
02091,hero,SoR,Friendly Fire,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,red,Spot a Red character and remove an opponent's dice showing ranged damage ([ranged]) to deal that damage to a character.,2,NA,FALSE,FALSE,Anthony Devine,FALSE,91,U,2320,NA,NA,NA,NA
02092,hero,SoR,Guerrilla Warfare,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Ambush.
Remove one of your Red dice to deal 1 damage to a character.",2,NA,FALSE,FALSE,Henning Ludvigsen,FALSE,92,C,2321,NA,NA,NA,NA
02093,hero,SoR,Our Only Hope,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,red,Draw a card. You may play that card for free or discard that card to gain 2 resources.,2,NA,FALSE,FALSE,Adam Lane,FALSE,93,U,2322,NA,NA,NA,NA
02094,hero,SoR,Rebel Assault,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Play only if you have one or more dice showing ranged damage ([ranged]).
Remove an opponent's die not showing damage ([ranged] or [melee]).",2,NA,FALSE,FALSE,Charles Urbach,FALSE,94,C,2323,NA,NA,NA,NA
02095,hero,SoR,Sensor Placement,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,red,Spot a red character to resolve an opponent's die not showing damage ([ranged] or [melee]) as if it were your die.,2,NA,FALSE,FALSE,Sidharth Chaturvedi,FALSE,95,U,2324,NA,NA,NA,NA
02096,hero,SoR,Spirit of Rebellion,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"Give a character 1 shield, or 2 shields instead if there is another copy of this event in your discard pile.",2,NA,FALSE,FALSE,Audrey Hotte,FALSE,96,C,2325,NA,NA,NA,NA
02097,hero,SoR,Planetary Uprising,NA,support,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,red,"After you claim the battlefield, force an opponent to deal 2 damage to their characters, distributed as they wish.",2,NA,FALSE,FALSE,Rafal Hrynkiewicz,FALSE,97,U,2326,NA,NA,NA,NA
02098,hero,SoR,Spy Net,NA,support,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,"After one of your dice rolls a focus ([focus]), you may exhaust this support to discard the top card of an opponent's deck.",2,NA,FALSE,FALSE,NA,FALSE,98,C,2327,NA,NA,NA,NA
02099,hero,SoR,Tactical Aptitude,NA,upgrade,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,"After you activate attached character, you may draw a card. Then place a card form your hand on the bottom of your deck.",2,NA,FALSE,FALSE,Jeff Lee Johnson,FALSE,99,C,2328,ability,NA,NA,NA
02100,hero,SoR,Caution,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Remove one of your character dice to give another character 3 shields.,2,NA,FALSE,FALSE,Jeff Lee Johnson,FALSE,100,U,2329,NA,NA,NA,NA
02101,hero,SoR,Destiny,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Remove any number of your Blue dice. Play a card from your hand for free that costs equal to or less than the combined value of the Blue dice you just removed.,2,NA,FALSE,FALSE,Tiziano Baracchi,FALSE,101,C,2330,NA,NA,NA,NA
02102,hero,SoR,Determination,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,"Play only if you have one or more dice showing a focus ([focus]).
Resolve one of your dice as if it was showing a different symbol <em>(it keeps its original value)</em>",2,NA,FALSE,FALSE,Jacob Murray,FALSE,102,C,2331,NA,NA,NA,NA
02103,hero,SoR,Guard,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Remove one of your Blue dice showing melee damage ([melee]) to remove a number of an opponent's dice equal to the value of the die you just removed.,2,NA,FALSE,FALSE,Tony Foti,FALSE,103,U,2332,NA,NA,NA,NA
02104,hero,SoR,Krayt Dragon Howl,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Spot a Blue character to choose an opponent's die. That opponent chooses to either remove that die or discard the top 2 cards of their deck.,2,NA,FALSE,FALSE,David Sondered,FALSE,104,C,2333,NA,NA,NA,NA
02105,hero,SoR,My Ally Is The Force,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,blue,"Ambush.
Resolve one of your Blue dice without removing it from your pool.",2,NA,FALSE,FALSE,Ryan Barger,FALSE,105,U,2334,NA,NA,NA,NA
